Transaction Amount,Payment Method,Is Fraudulent,Account Age Days
378.93,PayPal,0,38
673.88,debit card,0,252
49.46,credit card,0,103
200.86,credit card,0,52
333.4,PayPal,0,69
640.61,debit card,0,185
198.7,PayPal,0,298
460.49,debit card,0,159
182.1,credit card,0,294
120.19,bank transfer,0,262
42.06,PayPal,0,103
265.95,bank transfer,0,41
81.85,credit card,0,256
69.67,credit card,0,307
451.79,credit card,0,89
166.47,bank transfer,0,313
715.28,credit card,0,179
66.89,credit card,0,331
74.68,PayPal,0,268
96.27,credit card,0,27
157.1,PayPal,0,207
303.07,debit card,0,108
71.98,bank transfer,0,303
214.71,PayPal,0,149
134.73,bank transfer,0,73
83.1,credit card,0,188
170.67,bank transfer,0,191
199.65,debit card,0,270
92.24,credit card,0,85
329.44,PayPal,0,330
1118.63,debit card,0,285
379.43,PayPal,0,49
196.72,bank transfer,0,286
154.21,debit card,0,231
285.87,credit card,0,282
487.43,PayPal,0,186
64.53,debit card,0,286
139.67,PayPal,0,195
24.98,bank transfer,0,106
22.42,PayPal,0,169
66.87,PayPal,0,328
162.36,debit card,0,135
596.58,credit card,0,27
2038.0,credit card,1,9
26.45,credit card,0,77
259.68,PayPal,0,209
314.75,PayPal,0,152
508.57,bank transfer,0,222
72.09,debit card,0,106
187.87,debit card,0,152
62.93,PayPal,0,7
463.35,credit card,0,170
66.93,PayPal,0,55
28.86,bank transfer,0,13
234.73,bank transfer,1,202
211.52,bank transfer,0,288
49.59,credit card,0,327
180.89,PayPal,0,270
200.77,debit card,0,250
172.08,PayPal,0,345
153.78,debit card,0,143
72.08,debit card,0,54
66.55,debit card,0,77
471.51,PayPal,0,307
293.2,PayPal,0,95
52.4,debit card,0,225
25.18,bank transfer,0,37
118.67,credit card,0,233
183.04,bank transfer,0,183
269.94,PayPal,0,22
270.55,credit card,0,127
34.05,debit card,0,71
17.6,debit card,0,365
69.35,debit card,1,218
31.73,bank transfer,0,219
28.05,debit card,0,341
104.41,debit card,0,47
438.54,PayPal,0,14
262.52,debit card,0,343
208.15,bank transfer,0,206
352.26,debit card,0,323
19.06,bank transfer,0,219
90.83,debit card,0,123
548.74,credit card,0,191
80.28,debit card,0,77
254.68,PayPal,0,141
24.29,credit card,0,312
32.67,debit card,0,102
24.35,debit card,0,40
141.12,debit card,0,70
97.94,PayPal,0,160
166.77,bank transfer,0,210
86.48,credit card,0,192
22.18,bank transfer,0,52
66.75,bank transfer,0,277
125.22,credit card,0,140
372.55,PayPal,0,302
344.57,debit card,0,213
95.1,debit card,0,86
109.98,credit card,0,309
81.51,bank transfer,0,34
186.47,bank transfer,0,136
205.33,bank transfer,0,109
71.65,bank transfer,0,299
164.26,credit card,0,197
48.09,PayPal,0,13
569.19,debit card,0,292
300.31,PayPal,1,263
599.25,PayPal,0,26
727.0,bank transfer,0,129
323.96,debit card,0,104
70.35,credit card,0,225
69.19,bank transfer,0,44
76.11,bank transfer,0,303
135.23,PayPal,1,266
45.56,PayPal,0,4
67.0,PayPal,0,3
129.85,bank transfer,0,152
167.13,PayPal,0,117
140.8,debit card,1,325
101.92,PayPal,0,107
347.4,PayPal,0,200
11.32,credit card,0,222
120.93,bank transfer,0,298
85.56,credit card,0,13
130.24,credit card,0,321
304.17,debit card,1,153
125.67,debit card,0,238
56.71,bank transfer,0,163
24.57,credit card,0,82
478.85,bank transfer,0,50
241.05,bank transfer,0,106
48.17,credit card,0,220
198.6,PayPal,0,131
45.22,debit card,0,175
230.64,bank transfer,0,250
428.52,PayPal,0,130
60.66,bank transfer,0,78
88.8,debit card,0,206
138.58,bank transfer,1,144
104.01,debit card,0,29
50.62,PayPal,0,179
95.14,debit card,0,332
100.71,debit card,0,262
586.62,bank transfer,0,327
159.71,bank transfer,0,114
66.14,PayPal,0,315
300.22,bank transfer,0,333
83.66,debit card,0,274
159.12,debit card,0,152
413.59,debit card,0,52
456.78,PayPal,0,203
317.81,credit card,0,86
18.2,debit card,0,90
89.37,PayPal,0,119
56.58,PayPal,0,329
108.46,PayPal,0,173
37.34,bank transfer,0,53
126.67,bank transfer,0,345
514.15,debit card,1,305
162.33,debit card,0,186
231.05,bank transfer,0,316
106.72,credit card,0,246
424.26,debit card,0,80
186.93,debit card,0,26
158.3,credit card,0,126
57.67,bank transfer,0,264
141.72,credit card,0,93
143.04,credit card,0,269
34.99,debit card,0,289
75.55,credit card,0,58
2104.55,debit card,1,254
94.55,bank transfer,0,254
52.05,debit card,0,221
343.08,bank transfer,0,210
296.01,bank transfer,0,159
439.33,PayPal,0,132
2392.0,bank transfer,1,4
106.77,credit card,0,49
405.74,bank transfer,0,41
176.5,credit card,0,119
345.37,debit card,0,345
55.04,PayPal,0,15
266.46,credit card,1,210
313.05,credit card,0,135
270.06,PayPal,0,230
193.35,credit card,0,6
865.94,debit card,0,265
289.05,PayPal,0,119
137.33,PayPal,0,173
58.94,PayPal,0,22
137.62,debit card,0,7
299.43,PayPal,0,330
13.67,credit card,0,155
220.99,PayPal,0,74
325.9,PayPal,0,324
19.59,bank transfer,0,203
308.88,bank transfer,0,206
365.01,debit card,0,265
14.01,PayPal,0,232
68.34,PayPal,0,293
124.68,credit card,0,260
247.66,PayPal,1,105
97.69,credit card,0,363
182.59,bank transfer,0,239
325.1,credit card,0,73
203.9,PayPal,0,96
174.96,credit card,0,294
37.13,credit card,0,327
273.6,bank transfer,1,27
304.21,credit card,0,210
108.03,bank transfer,0,174
119.08,credit card,0,73
161.94,debit card,0,22
108.92,bank transfer,0,36
96.83,credit card,0,300
17.24,PayPal,0,350
234.32,bank transfer,0,236
38.41,debit card,0,221
174.45,PayPal,0,266
166.17,PayPal,0,229
48.88,debit card,0,338
74.57,debit card,0,285
436.23,bank transfer,0,150
401.15,PayPal,0,160
80.08,debit card,0,233
277.72,debit card,0,22
821.73,PayPal,0,335
215.31,PayPal,0,95
110.2,PayPal,0,310
332.62,PayPal,0,246
102.65,bank transfer,0,199
70.21,debit card,0,88
165.39,debit card,0,55
27.55,PayPal,0,113
372.84,PayPal,0,284
251.31,bank transfer,0,83
289.12,debit card,0,114
385.78,PayPal,0,171
50.86,PayPal,0,305
189.55,debit card,0,118
69.07,credit card,0,213
46.6,bank transfer,0,167
123.72,PayPal,0,349
661.66,bank transfer,0,67
177.17,bank transfer,0,144
118.13,PayPal,0,222
258.63,debit card,0,229
176.58,debit card,0,307
283.69,bank transfer,0,119
241.29,debit card,0,193
18.23,PayPal,0,65
239.51,PayPal,0,49
54.8,debit card,0,143
13.6,bank transfer,0,148
548.29,credit card,0,61
200.44,PayPal,0,75
25.71,debit card,0,190
470.15,bank transfer,0,13
24.09,credit card,0,131
15.13,bank transfer,0,338
260.59,credit card,0,338
418.15,bank transfer,0,354
38.16,credit card,0,97
185.27,PayPal,0,113
227.11,bank transfer,0,43
1408.75,PayPal,1,29
64.48,credit card,0,91
302.33,PayPal,0,263
130.82,credit card,0,132
89.43,credit card,0,221
140.44,credit card,0,235
602.5,PayPal,0,16
15.74,debit card,0,260
682.1,debit card,0,216
69.47,debit card,0,125
338.76,PayPal,0,334
357.94,bank transfer,0,88
14.3,debit card,0,80
61.6,PayPal,0,52
146.48,debit card,0,153
18.14,PayPal,0,86
70.95,bank transfer,0,231
552.62,PayPal,0,127
718.84,debit card,0,170
40.88,debit card,0,259
117.84,debit card,0,283
55.61,PayPal,0,188
31.68,bank transfer,0,59
79.03,PayPal,0,189
178.68,debit card,0,260
426.84,PayPal,0,30
396.88,PayPal,0,7
103.09,bank transfer,0,74
49.72,debit card,0,117
92.44,PayPal,1,23
240.47,debit card,0,185
245.84,debit card,0,157
456.02,credit card,0,337
14.56,credit card,0,149
329.77,bank transfer,0,365
269.41,bank transfer,0,325
81.83,bank transfer,0,29
215.29,credit card,0,107
82.81,PayPal,0,320
24.16,PayPal,0,277
1741.55,PayPal,1,362
51.27,credit card,0,31
264.45,debit card,0,160
278.31,credit card,0,88
164.2,bank transfer,0,78
75.9,credit card,0,247
154.9,credit card,0,248
130.54,bank transfer,0,46
289.5,PayPal,0,333
159.0,debit card,0,204
33.93,bank transfer,0,170
82.62,debit card,0,28
140.06,debit card,0,343
102.19,debit card,0,346
73.73,PayPal,0,141
475.72,debit card,0,358
174.59,PayPal,0,173
485.46,credit card,0,345
325.99,PayPal,0,209
523.2,debit card,0,288
524.81,credit card,0,218
223.35,credit card,0,171
351.48,debit card,0,3
90.76,bank transfer,0,275
33.14,PayPal,0,226
165.48,credit card,0,71
67.34,PayPal,0,217
165.41,PayPal,0,311
264.38,debit card,0,209
414.95,PayPal,0,68
731.86,credit card,1,163
494.13,credit card,0,64
493.6,bank transfer,0,246
115.06,PayPal,0,360
110.95,credit card,0,270
22.82,bank transfer,0,325
265.75,debit card,0,41
166.28,credit card,0,222
255.66,bank transfer,0,122
168.84,credit card,0,118
173.38,PayPal,0,302
179.46,debit card,0,83
91.67,bank transfer,0,306
88.37,credit card,0,216
265.67,credit card,0,168
2359.35,debit card,1,156
59.7,bank transfer,0,349
113.57,bank transfer,0,351
22.44,PayPal,0,357
247.5,debit card,0,78
191.41,credit card,0,37
598.11,PayPal,0,266
151.25,credit card,0,50
49.09,PayPal,0,302
49.66,PayPal,0,292
30.05,PayPal,0,251
110.35,PayPal,0,45
226.37,PayPal,0,15
75.44,debit card,0,310
438.19,bank transfer,0,260
766.78,debit card,0,198
335.64,bank transfer,0,54
145.18,PayPal,0,199
69.84,bank transfer,0,20
174.11,debit card,0,250
105.55,bank transfer,0,51
17.86,credit card,0,163
423.01,debit card,0,93
265.92,bank transfer,0,109
196.67,bank transfer,0,235
196.58,bank transfer,0,125
16.72,bank transfer,0,164
11.3,credit card,0,138
615.6,credit card,0,8
178.22,PayPal,0,355
628.62,PayPal,0,272
18.28,bank transfer,0,24
410.23,debit card,0,33
126.35,PayPal,0,122
416.33,bank transfer,0,90
537.47,PayPal,0,205
71.39,bank transfer,0,318
168.2,bank transfer,0,228
774.79,bank transfer,0,292
217.08,PayPal,0,252
649.64,PayPal,1,64
1334.97,debit card,0,280
528.35,PayPal,0,65
116.23,debit card,0,290
122.55,debit card,0,136
93.75,bank transfer,1,38
48.88,PayPal,0,232
175.15,PayPal,0,245
251.05,PayPal,0,352
109.01,PayPal,0,310
107.61,bank transfer,0,55
182.55,credit card,1,13
108.25,credit card,0,195
208.29,debit card,0,174
112.24,debit card,0,76
88.18,PayPal,0,64
107.34,bank transfer,0,354
715.69,bank transfer,0,177
251.12,credit card,0,183
16.29,debit card,0,347
344.68,credit card,0,284
57.03,PayPal,0,58
143.06,debit card,0,362
67.09,debit card,0,109
62.35,credit card,0,298
125.93,credit card,0,29
41.39,bank transfer,0,261
271.63,bank transfer,0,176
103.86,credit card,0,127
32.56,PayPal,0,202
117.32,PayPal,0,232
857.81,credit card,0,149
422.43,debit card,0,354
25.35,PayPal,0,52
429.27,bank transfer,0,358
161.74,bank transfer,0,174
31.29,bank transfer,0,224
47.6,bank transfer,0,103
286.93,bank transfer,0,3
349.18,credit card,0,300
74.67,credit card,0,337
49.5,debit card,0,52
114.45,bank transfer,0,84
291.74,bank transfer,0,307
89.24,bank transfer,0,64
106.44,debit card,0,352
205.43,debit card,0,196
88.21,credit card,1,15
913.86,bank transfer,0,108
98.17,PayPal,0,365
526.18,credit card,0,115
392.29,debit card,0,137
373.1,debit card,0,13
24.0,credit card,0,138
276.84,debit card,0,62
1069.75,PayPal,1,243
71.39,credit card,0,335
167.77,bank transfer,0,1
165.5,bank transfer,0,58
357.11,bank transfer,0,26
106.75,PayPal,0,214
543.99,credit card,0,98
157.49,debit card,0,5
92.95,PayPal,0,339
143.56,bank transfer,0,12
386.12,debit card,0,281
304.66,credit card,0,82
255.12,bank transfer,0,310
22.72,bank transfer,0,297
628.76,bank transfer,0,55
176.26,PayPal,0,328
12.49,bank transfer,0,107
223.52,PayPal,0,36
69.32,credit card,0,197
43.5,debit card,0,339
135.78,bank transfer,0,46
244.24,credit card,0,344
444.56,credit card,0,213
235.6,PayPal,0,179
170.71,PayPal,0,173
75.07,bank transfer,0,261
345.43,bank transfer,1,1
187.75,credit card,0,274
10.67,PayPal,0,344
211.42,PayPal,0,141
253.66,credit card,0,79
96.8,credit card,0,281
196.72,PayPal,0,135
43.29,PayPal,0,241
210.6,PayPal,0,271
21.06,debit card,0,64
118.57,PayPal,0,23
87.23,PayPal,0,158
365.62,credit card,0,292
97.65,PayPal,0,82
15.04,credit card,0,43
234.7,PayPal,0,44
877.57,bank transfer,0,308
132.81,PayPal,0,338
373.7,bank transfer,0,351
296.26,bank transfer,0,149
253.91,PayPal,0,132
154.9,bank transfer,0,356
85.85,credit card,0,198
76.38,PayPal,0,71
119.69,debit card,0,172
56.2,debit card,0,136
34.93,debit card,0,26
53.92,debit card,0,57
103.84,PayPal,0,61
105.24,credit card,0,19
181.18,credit card,0,214
140.45,credit card,0,44
181.76,credit card,0,221
114.66,credit card,0,22
44.62,PayPal,0,19
220.33,bank transfer,1,336
16.8,credit card,0,82
427.37,bank transfer,0,251
154.93,bank transfer,0,285
104.87,debit card,0,115
18.53,debit card,0,310
62.87,debit card,0,227
32.04,bank transfer,0,315
165.43,debit card,0,46
296.83,credit card,0,245
229.43,credit card,0,198
55.23,bank transfer,0,292
233.93,bank transfer,0,147
201.61,bank transfer,0,364
113.8,debit card,0,259
206.0,PayPal,0,61
85.64,bank transfer,0,209
71.76,PayPal,0,138
120.22,bank transfer,0,161
143.74,PayPal,0,303
385.56,debit card,0,47
160.91,debit card,0,126
70.86,credit card,0,102
158.09,debit card,0,221
168.13,PayPal,0,319
22.46,credit card,0,315
147.05,credit card,0,141
11.02,PayPal,0,190
143.11,bank transfer,0,292
100.9,PayPal,0,162
163.21,debit card,0,323
39.5,bank transfer,0,181
164.61,debit card,0,191
340.29,PayPal,0,245
163.04,debit card,0,312
147.31,PayPal,0,94
282.84,PayPal,0,286
805.67,debit card,0,332
300.63,PayPal,0,292
362.89,PayPal,0,85
67.51,credit card,0,266
188.93,bank transfer,0,208
126.88,bank transfer,0,265
891.33,debit card,0,33
124.82,bank transfer,0,147
201.69,debit card,0,356
236.17,credit card,0,16
43.76,credit card,0,329
281.44,debit card,0,301
40.95,debit card,0,273
265.86,debit card,0,130
147.93,debit card,0,281
28.74,credit card,0,239
372.6,credit card,0,186
105.69,PayPal,0,301
126.16,bank transfer,0,227
43.71,bank transfer,0,95
152.41,debit card,0,29
149.57,PayPal,0,313
298.89,PayPal,0,185
147.86,debit card,0,221
187.34,credit card,0,96
122.62,credit card,0,280
110.75,PayPal,0,277
44.97,bank transfer,0,275
514.28,bank transfer,0,228
33.11,bank transfer,0,157
401.82,debit card,0,153
124.37,bank transfer,0,113
686.66,debit card,0,48
60.51,credit card,0,290
730.53,debit card,0,119
75.61,bank transfer,0,118
167.38,bank transfer,0,340
28.34,PayPal,0,139
93.45,debit card,1,25
79.96,credit card,0,272
59.74,bank transfer,0,102
128.4,bank transfer,0,28
93.01,credit card,0,286
32.24,bank transfer,0,294
227.99,bank transfer,0,96
445.93,debit card,0,168
88.35,PayPal,0,162
791.04,debit card,0,74
74.5,bank transfer,0,9
228.86,credit card,0,1
276.84,PayPal,0,1
505.01,bank transfer,0,33
11.37,credit card,0,287
135.04,debit card,0,359
473.24,debit card,0,336
447.02,bank transfer,0,130
211.02,PayPal,0,351
92.94,credit card,0,318
132.38,debit card,0,175
84.41,debit card,0,259
110.06,credit card,0,294
215.14,PayPal,0,16
111.81,debit card,0,302
47.47,PayPal,0,30
190.08,credit card,0,313
100.06,PayPal,0,24
76.1,PayPal,0,123
26.44,debit card,0,175
803.21,credit card,0,59
64.46,PayPal,0,177
1815.2,bank transfer,1,253
950.79,PayPal,0,104
255.84,PayPal,0,13
44.01,debit card,0,339
10.98,credit card,0,307
104.64,credit card,0,265
524.69,PayPal,0,254
16.08,PayPal,0,20
436.56,debit card,0,289
117.07,credit card,0,50
200.48,PayPal,0,261
188.76,PayPal,0,191
85.6,bank transfer,0,138
123.71,PayPal,0,259
252.47,credit card,0,148
227.58,credit card,0,343
546.47,credit card,0,364
47.39,PayPal,0,109
367.1,debit card,0,122
94.34,credit card,0,166
498.62,credit card,0,208
379.82,bank transfer,0,120
55.67,credit card,0,335
193.7,PayPal,0,187
156.62,debit card,0,267
122.21,bank transfer,0,327
63.92,bank transfer,0,356
320.02,PayPal,0,300
158.42,debit card,0,19
10.82,bank transfer,0,1
48.3,bank transfer,0,229
58.8,credit card,0,344
20.36,credit card,0,179
95.96,bank transfer,0,322
245.7,PayPal,0,23
274.32,credit card,0,227
166.09,debit card,0,310
237.51,PayPal,0,48
287.78,bank transfer,0,263
983.69,bank transfer,0,165
244.79,debit card,0,201
178.68,bank transfer,0,299
57.2,credit card,0,141
23.14,PayPal,0,212
687.28,debit card,0,182
190.66,PayPal,0,50
245.93,credit card,0,103
216.52,credit card,0,9
73.31,debit card,0,141
30.28,credit card,0,318
71.95,PayPal,0,263
83.88,credit card,0,63
83.82,bank transfer,0,236
82.38,credit card,0,296
388.02,bank transfer,0,47
132.59,PayPal,0,323
1796.1,debit card,1,277
86.41,debit card,0,31
108.6,PayPal,0,85
381.74,debit card,0,280
45.09,credit card,0,358
136.39,PayPal,0,3
174.43,bank transfer,0,41
510.74,debit card,0,8
103.83,debit card,0,152
674.19,credit card,0,312
15.6,debit card,0,149
210.73,credit card,0,65
149.47,bank transfer,0,79
228.66,credit card,0,283
74.37,credit card,0,356
135.49,PayPal,0,65
296.96,debit card,0,305
173.19,credit card,0,311
212.77,PayPal,0,90
707.32,debit card,0,332
54.69,debit card,0,228
23.24,bank transfer,1,9
308.92,credit card,0,53
432.28,bank transfer,0,230
259.62,PayPal,0,277
771.3,credit card,0,321
42.51,bank transfer,0,118
648.35,bank transfer,0,142
57.8,PayPal,0,322
139.53,bank transfer,0,66
25.59,bank transfer,0,54
313.89,debit card,0,307
113.87,credit card,0,278
1211.56,PayPal,0,357
111.8,credit card,0,299
1063.63,credit card,0,200
714.0,debit card,0,283
112.96,credit card,0,324
112.18,bank transfer,0,29
743.42,debit card,0,136
341.33,bank transfer,0,197
120.84,credit card,0,299
108.45,PayPal,0,208
64.83,debit card,0,131
46.79,debit card,0,100
25.97,bank transfer,0,353
42.39,PayPal,0,232
426.12,bank transfer,0,49
52.7,bank transfer,0,162
229.34,debit card,0,87
32.74,bank transfer,0,318
74.82,bank transfer,0,71
657.62,debit card,0,151
203.88,PayPal,0,24
143.52,debit card,0,340
261.4,PayPal,0,118
516.24,credit card,0,318
32.78,bank transfer,0,95
108.92,bank transfer,0,41
162.31,bank transfer,0,240
244.4,credit card,1,294
132.01,bank transfer,0,98
29.19,PayPal,0,124
240.5,PayPal,0,260
262.39,credit card,0,75
20.39,PayPal,0,134
54.84,debit card,0,2
336.69,credit card,0,8
122.04,debit card,0,354
456.65,PayPal,0,76
46.74,PayPal,0,328
1813.55,credit card,1,216
40.54,debit card,0,109
228.79,PayPal,0,72
47.32,PayPal,0,141
938.24,credit card,0,216
581.89,credit card,0,360
4037.0,debit card,1,27
511.6,debit card,0,41
73.0,bank transfer,0,259
59.92,bank transfer,0,309
13.63,PayPal,0,98
187.55,credit card,0,224
256.72,credit card,0,224
62.74,credit card,0,272
625.2,PayPal,0,310
328.08,PayPal,0,309
425.59,bank transfer,0,87
358.7,debit card,1,9
263.96,bank transfer,0,94
400.14,bank transfer,0,327
26.51,credit card,0,32
215.11,credit card,0,158
82.72,debit card,0,211
30.37,PayPal,0,321
299.32,PayPal,0,206
140.58,PayPal,0,17
176.55,PayPal,0,7
164.15,debit card,0,244
142.78,credit card,0,192
1649.41,debit card,0,15
44.06,debit card,1,213
152.81,bank transfer,0,90
42.5,bank transfer,0,23
21.11,credit card,0,153
102.37,PayPal,0,47
100.94,PayPal,0,8
30.22,credit card,0,64
13.99,bank transfer,0,347
21.68,credit card,0,326
456.62,credit card,0,237
77.28,PayPal,0,323
76.8,PayPal,0,206
70.59,bank transfer,0,20
183.65,bank transfer,0,133
297.85,PayPal,0,64
88.61,bank transfer,0,98
337.25,credit card,0,87
371.73,PayPal,0,26
93.33,credit card,0,168
57.5,credit card,0,184
157.69,PayPal,0,4
202.47,PayPal,0,11
503.63,debit card,0,282
275.46,PayPal,0,144
98.29,debit card,0,281
10.98,PayPal,0,114
197.54,debit card,0,348
85.13,bank transfer,0,118
97.24,credit card,0,196
48.85,PayPal,0,254
251.92,credit card,0,333
37.68,debit card,0,154
86.25,debit card,0,191
458.91,credit card,0,42
303.7,credit card,0,74
186.16,credit card,0,148
143.6,bank transfer,0,74
574.79,debit card,0,344
44.96,credit card,0,295
295.34,PayPal,0,285
315.83,PayPal,0,321
146.35,debit card,1,291
290.16,credit card,0,226
292.3,PayPal,1,14
179.42,PayPal,0,8
759.86,bank transfer,0,92
1776.25,bank transfer,1,1
333.17,bank transfer,0,342
99.41,bank transfer,0,290
314.84,PayPal,0,363
142.47,PayPal,0,142
262.69,bank transfer,0,364
350.62,bank transfer,0,325
684.27,PayPal,0,257
278.24,debit card,0,35
117.25,credit card,0,363
221.25,PayPal,0,292
324.31,debit card,0,332
24.42,PayPal,0,209
69.24,PayPal,0,99
38.42,PayPal,0,42
218.41,credit card,1,16
111.02,PayPal,0,8
68.69,PayPal,0,279
30.25,PayPal,0,250
30.7,debit card,0,201
229.42,credit card,0,327
78.12,debit card,0,165
50.81,bank transfer,0,46
35.48,bank transfer,0,142
390.87,PayPal,0,96
108.74,debit card,0,329
814.17,credit card,0,228
24.7,bank transfer,0,32
207.63,bank transfer,0,321
20.55,PayPal,0,271
252.85,debit card,0,88
192.27,debit card,0,153
321.48,PayPal,0,203
70.8,PayPal,0,217
436.32,debit card,0,174
105.26,bank transfer,0,365
293.14,bank transfer,0,156
334.42,bank transfer,0,222
265.86,credit card,0,134
510.25,bank transfer,0,146
94.63,PayPal,0,279
150.99,credit card,0,278
34.8,credit card,0,185
16.69,debit card,0,323
346.23,PayPal,0,20
104.71,bank transfer,0,167
12.76,credit card,0,196
41.6,bank transfer,0,73
253.04,PayPal,0,312
166.95,debit card,0,125
99.09,credit card,0,191
135.14,credit card,0,156
111.25,bank transfer,0,354
35.64,debit card,0,2
58.08,debit card,0,333
218.48,bank transfer,0,361
212.45,PayPal,0,74
247.36,PayPal,0,353
168.2,bank transfer,0,75
92.44,debit card,0,239
65.46,credit card,0,117
526.96,bank transfer,0,356
67.62,PayPal,0,290
171.27,bank transfer,0,249
130.17,credit card,0,50
155.06,debit card,0,70
128.66,credit card,0,84
27.4,debit card,0,183
193.7,bank transfer,0,361
195.82,credit card,0,115
130.98,credit card,1,20
108.72,PayPal,0,235
74.42,bank transfer,0,160
825.24,credit card,0,226
48.09,bank transfer,0,164
416.72,bank transfer,0,179
215.53,PayPal,0,46
126.04,bank transfer,0,253
258.75,debit card,0,132
803.93,credit card,0,233
13.51,PayPal,0,197
245.33,PayPal,0,319
251.85,PayPal,0,121
48.89,debit card,1,13
136.44,PayPal,0,326
32.73,PayPal,0,265
485.49,credit card,0,91
52.49,bank transfer,0,277
23.84,debit card,0,61
595.49,PayPal,0,178
22.6,bank transfer,0,238
166.65,debit card,0,110
227.58,debit card,0,185
167.59,debit card,0,170
464.86,PayPal,0,66
833.3,debit card,0,305
94.02,bank transfer,0,211
164.26,debit card,0,19
50.38,debit card,0,357
217.97,bank transfer,0,352
309.64,credit card,0,332
613.53,credit card,0,137
96.64,credit card,0,193
105.45,debit card,0,146
117.83,credit card,0,171
72.48,PayPal,0,164
92.36,credit card,0,170
109.8,PayPal,0,210
666.99,credit card,0,44
54.95,debit card,0,324
720.65,debit card,0,165
33.88,debit card,0,137
13.13,PayPal,0,31
134.31,bank transfer,0,203
41.95,PayPal,0,22
348.27,bank transfer,0,112
162.74,debit card,0,181
368.46,PayPal,0,278
534.87,debit card,0,115
448.01,PayPal,0,166
607.55,credit card,0,138
347.37,bank transfer,0,295
311.52,credit card,0,77
519.58,credit card,0,4
77.08,PayPal,0,365
444.38,bank transfer,0,351
